date | value

200a-12-21 | 4
2005_11-25 | 2
2011-5B-21 | 1
2011-05+21 | 3
2016-13-18 | 6
2025-08-16 | 7
2016-11-32 | 6
2016-11-3e | 6
2016-11-00 | 6
2016-11-   | 6
2016-04-31 | 6
2010-02-29 | 5
2009-01-01 | 1
2006-11-12 | 1
2011-01$-09| 1
2015-11-25 % | 2

2018-02-10   |    	 	F  	
2018-02-10   | +425+2345  	
2018-02-10   | ++42  	
2018-02-10   | +-352  	
2018-02-10   | --124  	
2018-02-10   | -2412-  	
2011-10-10 | 2..342
2011-10-10 | 2.42.5
2011-10-10 | 2.42.5
2011-10-10 | -1241
2011-10-10 | -1
2011-10-10 | -0
2011-10-10 | 2147483648
2011-10-10 | 3458774762953820

2011-10-10 | -
2011-10-10 | 34587.325FF
 2020-12-05 | .24124


